,Character_1,Character_2,Win_Probability
1214,3148,10971,0
1215,4354,10943,1
1216,2452,3857,-1
1217,7374,6197,-1
1218,11809,3676,1
1219,8595,344,-1
1220,9255,9046,-1
1221,10425,3134,1
1222,2198,8371,1
1223,6424,3332,1
1224,8075,4865,-1
1225,4644,4795,1
1226,11809,868,1
1227,7782,4871,1
1228,11499,3260,-1
1229,357,6703,-1
1230,5408,11317,1
1231,9476,8418,1
1232,7960,5348,-1
1233,68,5154,1
1234,6967,9773,1
1235,4401,163,1
1236,3513,479,-1
1237,4618,3137,-1
1238,7772,163,-1
1239,10629,4770,-1
1240,8302,4324,1
1241,11998,720,-1
1242,3803,4871,1
1243,4604,3508,-1
1244,11422,9942,-1
1245,11992,2239,-1
1246,869,4365,1
1247,8252,11190,-1
1248,9642,9262,1
1249,6197,7647,1
1250,8343,4365,0
1251,7374,4066,-1
1252,1008,7926,-1
1253,6119,5352,1
1254,2429,9453,1
1255,3609,3275,-1
1256,7660,359,1
1257,1561,10873,1
1258,11244,8257,1
1259,2969,10469,1
1260,8383,6858,1
1261,5959,869,1
1262,11966,3275,-1
1263,8359,10188,0
1264,749,8472,-1
1265,4544,7484,1
1266,4417,761,0
1267,9567,10058,0
1268,10558,9928,0
1269,3363,5132,-1
1270,3053,7772,1
1271,1832,4955,0
1272,2778,957,0
1273,11422,4066,0
1274,3997,919,0
1275,10220,9781,0
1276,749,4339,1
1277,10220,915,-1
1278,1338,915,-1
1279,583,163,-1
1280,4066,583,1
1281,2339,5721,1
1282,10943,479,-1
1283,74,11933,-1
1284,1421,1889,-1
1285,8246,6506,0
1286,1720,10048,-1
1287,59,407,0
1288,3263,3481,0
1289,4066,869,0
1290,577,3888,1
1291,9579,8008,0
1292,7570,4720,0
1293,3576,3263,0
1294,583,5097,-1
1295,3053,4795,-1
1296,11730,3852,1
1297,4252,11422,1
1298,8439,466,0
1299,1360,7050,1
1300,8116,6062,1
1301,8439,163,0
1302,10400,4044,1
1303,8216,11249,-1
1304,981,8682,0
1305,11900,11190,0
1306,16,4582,1
1307,4354,7964,1
1308,11317,11147,0
1309,8285,10985,0
1310,6880,11249,1
1311,2147,1208,-1
1312,10616,10244,-1
1313,8441,5241,-1
1314,4373,7815,0
1315,6394,7513,-1
1316,577,5498,1
1317,6197,6967,-1
1318,11625,11730,-1
1319,7710,583,-1
1320,10400,3289,1
1321,9721,6003,-1
1322,344,1298,1
1323,6703,5480,-1
1324,9995,6331,-1
1325,11654,5498,-1
